label,date,method,window_name,param_name,param_value,scenario,active_points,soc_min_actual,soc_max_actual,soc_span_actual,n_turning_points,n_cycles_total,dominant_dod_mid,dominant_cycle_count,damage_index,param_name_feas,param_value_feas,Ecap_kwh,Pbatt_max_kw,soc_min,soc_max,soc0,ramp_p95_kw_target,ramp_p95_kw_actual,throughput_req_kwh,throughput_act_kwh,energy_mismatch_kwh,power_limit_frac,soc_limit_frac,efc_act
clear,2024-06-05,SMA,30min,N,6.0,small,170,0.4530902777777778,0.8,0.34690972222222227,33,31.5,0.025,30.0,0.00038198832679839703,N,6.0,2000.0,500.0,0.2,0.8,0.5,165.8,166.0,1514.3055555555552,1338.9027777777778,175.4027777777775,0.0,0.1764705882352941,0.3347256944444444
clear,2024-06-05,SMA,60min,N,12.0,small,170,0.3208437499999998,0.8,0.47915625000000023,17,15.5,0.025,14.0,0.00019944099569277094,N,12.0,2000.0,500.0,0.2,0.8,0.5,161.0666666666666,174.6,3157.243055555555,1615.9791666666656,1541.2638888888896,0.1647058823529411,0.2176470588235294,0.4039947916666664
cloudy,2024-04-03,EMA,10min,alpha,0.6666666666666666,small,143,0.5047854938271604,0.5835277529160082,0.0787422590888478,57,54.0,0.025,53.5,0.0006278698012550197,alpha,0.6666666666666666,2000.0,500.0,0.2,0.8,0.5,1631.034240697516,1953.7288412771245,2359.443138650504,1972.2730551504717,387.17008350003255,0.1468531468531468,0.0,0.4930682637876178
cloudy,2024-04-03,EMA,20min,alpha,0.4,small,143,0.5101562000000001,0.7539082772844177,0.2437520772844176,55,52.5,0.025,50.5,0.0006176850571940046,alpha,0.4,2000.0,500.0,0.2,0.8,0.5,855.1485803702419,1887.1330954082832,4366.951466731291,2910.928499679979,1456.0229670513108,0.3006993006993007,0.0,0.7277321249199947
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,small,143,0.5129747153963626,0.8,0.2870252846036374,47,45.0,0.025,42.0,0.0005345784713081953,alpha,0.2857142857142857,2000.0,500.0,0.2,0.8,0.5,578.2840413984403,1885.999999999999,5430.675293068988,3134.1389801493588,2296.5363129196294,0.3356643356643357,0.2237762237762237,0.7835347450373397
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,small,143,0.5163213472032442,0.8,0.28367865279675586,45,43.5,0.025,36.5,0.0005248370117400152,alpha,0.1538461538461538,2000.0,500.0,0.2,0.8,0.5,290.29540581746016,1885.999999999999,7491.931647807789,3428.979279906024,4062.9523679017625,0.4545454545454545,0.2657342657342657,0.8572448199765059
cloudy,2024-04-03,SMA,10min,N,2.0,small,143,0.505875,0.6065416666666665,0.10066666666666657,73,70.0,0.025,69.5,0.0008139052979231736,N,2.0,2000.0,500.0,0.2,0.8,0.5,1283.425,1971.499999999999,3754.833333333333,2145.458333333333,1609.375,0.2587412587412587,0.0,0.5363645833333333
cloudy,2024-04-03,SMA,20min,N,4.0,small,143,0.5129583333333333,0.7329270833333333,0.21996875000000005,55,50.5,0.025,47.0,0.0005936001045003597,N,4.0,2000.0,500.0,0.2,0.8,0.5,698.0374999999999,1885.999999999999,5458.583333333333,3078.4375,2380.145833333333,0.3356643356643357,0.0,0.769609375
cloudy,2024-04-03,SMA,30min,N,6.0,small,143,0.5158472222222222,0.8,0.2841527777777778,46,42.0,0.025,37.5,0.0004995307125608914,N,6.0,2000.0,500.0,0.2,0.8,0.5,479.0083333333332,1885.999999999999,6227.208333333333,3270.458333333333,2956.7500000000005,0.3566433566433566,0.1608391608391608,0.8176145833333333
cloudy,2024-04-03,SMA,60min,N,12.0,small,143,0.5187361111111111,0.8,0.281263888888889,41,38.5,0.025,31.0,0.0004571744164444813,N,12.0,2000.0,500.0,0.2,0.8,0.5,236.96666666666664,1891.5041666666664,8342.520833333332,3559.548611111109,4782.972222222224,0.5104895104895105,0.2307692307692307,0.8898871527777774
medium,2025-03-15,EMA,10min,alpha,0.6666666666666666,small,135,0.505054012345679,0.5727269697785493,0.06767295743287027,49,44.5,0.025,44.5,0.0005174112251083033,alpha,0.6666666666666666,2000.0,500.0,0.2,0.8,0.5,447.67917428273927,447.67917428273927,946.0813970231168,946.0813970231168,0.0,0.0,0.0,0.2365203492557792
medium,2025-03-15,EMA,20min,alpha,0.4,small,135,0.491411721262003,0.7043174842781212,0.21290576301611824,45,42.5,0.025,40.5,0.000494156788024784,alpha,0.4,2000.0,500.0,0.2,0.8,0.5,294.7606459285963,294.7606459285963,1974.4253147060572,1914.2251447798096,60.20016992624738,0.0222222222222222,0.0,0.4785562861949524
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,small,135,0.4645647091463063,0.8,0.3354352908536937,43,40.5,0.025,37.0,0.0004725633821615161,alpha,0.2857142857142857,2000.0,500.0,0.2,0.8,0.5,219.368593599296,320.8687656236102,2602.3036452260367,2414.6869338803763,187.61671134566043,0.0592592592592592,0.0666666666666666,0.6036717334700941
